# Version 1.0
# DOI https://doi.org/10.1016/j.physletb.2018.10.076
# Source https://www.hepdata.net/download/table/ins1673184/Table%2022/1/yaml
# Experiment ATLAS
# System PbPb5020
# Centrality 30-40
# XY PT [GEV] RAA
# - Label xmin xmax y sys,low sys,high stat,low stat,high sys,TAA,low sys,TAA,high sys,lumi,low sys,lumi,high 
# Label xmin xmax y stat,low stat,high sys,low sys,high sys,TAA,low sys,TAA,high sys,lumi,low sys,lumi,high 
79 89 0.606 0.008 0.007 0.006 0.006 0.0307 0.0307 0.012 0.012
89 100 0.62 0.008 0.007 0.007 0.007 0.0307 0.0307 0.012 0.012
100 112 0.647 0.008 0.008 0.004 0.004 0.0307 0.0307 0.012 0.012
112 125 0.672 0.008 0.009 0.005 0.005 0.0307 0.0307 0.013 0.013
125 141 0.692 0.008 0.009 0.005 0.005 0.0307 0.0307 0.013 0.013
141 158 0.711 0.008 0.008 0.006 0.006 0.0307 0.0307 0.014 0.014
158 177 0.725 0.008 0.008 0.007 0.007 0.0307 0.0307 0.014 0.014
177 199 0.737 0.009 0.009 0.009 0.009 0.0307 0.0307 0.014 0.014
199 223 0.754 0.009 0.009 0.012 0.012 0.0307 0.0307 0.015 0.015
223 251 0.782 0.01 0.01 0.017 0.017 0.0307 0.0307 0.015 0.015
251 316 0.778 0.009 0.009 0.018 0.018 0.0307 0.0307 0.015 0.015
316 398 0.76 0.01 0.01 0.04 0.04 0.0307 0.0307 0.01 0.01
398 630 0.74 0.01 0.01 0.07 0.07 0.0307 0.0307 0.01 0.01
