# Version 1.0
# DOI https://doi.org/10.1103/PhysRevC.96.015202
# Source https://www.hepdata.net/download/table/ins1487278/Table%208a/1/yaml
# Experiment CMS
# System PbPb2760
# Centrality 0-5
# XY Jet $p_T$ RAA
# Label xmin xmax y stat,low stat,high sys,low sys,high 
70 80 0.4 0.0 0.0 0.12 0.12
80 90 0.43 0.002 0.002 0.095 0.095
90 100 0.464 0.002 0.002 0.083 0.083
100 110 0.488 0.003 0.003 0.079 0.079
110 130 0.51 0.003 0.003 0.083 0.083
130 150 0.531 0.004 0.004 0.082 0.082
150 170 0.545 0.005 0.005 0.092 0.092
170 190 0.558 0.006 0.006 0.085 0.085
190 210 0.572 0.008 0.008 0.089 0.089
210 240 0.587 0.01 0.01 0.087 0.087
240 270 0.6 0.015 0.015 0.091 0.091
270 300 0.613 0.02 0.02 0.084 0.084
