# Version 1.0
# DOI https://doi.org/10.17182/hepdata.93908
# Source https://www.hepdata.net/download/table/ins619063/Table3/1/yaml
# Experiment STAR
# System AuAu200
# Centrality 0-5
# XY $p_T [GeV/c]$ $(d^2N/dpTd\eta (AuAu))/(TAA d^2\sigma/dpTd\eta (pp))$
# Label xmin xmax y sys_+_stat,low sys_+_stat,high 
0.4 0.5 0.29 0.03 0.03
0.5 0.6 0.32 0.03 0.03
0.6 0.7 0.36 0.03 0.03
0.7 0.8 0.39 0.03 0.03
0.8 0.9 0.43 0.03 0.03
0.9 1.0 0.46 0.04 0.04
1.0 1.1 0.49 0.04 0.04
1.1 1.2 0.53 0.04 0.04
1.2 1.3 0.56 0.04 0.04
1.3 1.4 0.58 0.04 0.04
1.4 1.5 0.6 0.05 0.05
1.5 1.6 0.62 0.05 0.05
1.6 1.7 0.64 0.06 0.06
1.7 1.8 0.66 0.06 0.06
1.8 1.9 0.67 0.06 0.06
1.9 2.0 0.67 0.07 0.07
2.0 2.1 0.69 0.08 0.08
2.1 2.2 0.68 0.08 0.08
2.2 2.3 0.7 0.08 0.08
2.3 2.4 0.69 0.09 0.09
2.4 2.6 0.7 0.1 0.1
2.6 2.8 0.65 0.09 0.09
2.8 3.0 0.56 0.06 0.06
3.0 3.35 0.49 0.05 0.05
3.35 3.8 0.44 0.04 0.04
3.8 4.4 0.38 0.04 0.04
4.4 5.1 0.32 0.04 0.04
5.1 6.0 0.27 0.03 0.03
6.0 7.0 0.26 0.04 0.04
7.0 8.0 0.18 0.03 0.03
8.0 9.0 0.22 0.06 0.06
9.0 10.0 0.19 0.06 0.06
