# Version 1.0
# DOI https://doi.org/10.1103/PhysRevC.96.015202
# Source https://www.hepdata.net/download/table/ins1487278/Table%208b/1/yaml
# Experiment CMS
# System PbPb2760
# Centrality 5-10
# XY Jet $p_T$ RAA
# Label xmin xmax y stat,low stat,high sys,low sys,high 
70 80 0.432 0.003 0.003 0.097 0.097
80 90 0.475 0.003 0.003 0.089 0.089
90 100 0.512 0.003 0.003 0.083 0.083
100 110 0.53 0.004 0.004 0.087 0.087
110 130 0.537 0.003 0.003 0.093 0.093
130 150 0.54 0.0 0.0 0.1 0.1
150 170 0.56 0.01 0.01 0.1 0.1
170 190 0.57 0.01 0.01 0.1 0.1
190 210 0.566 0.011 0.011 0.091 0.091
210 240 0.558 0.014 0.014 0.081 0.081
240 270 0.546 0.022 0.022 0.062 0.062
